SMILES,Source
Cc1ccc(-n2nc(-c3ccccc3)cc2NC(=O)CNC(=O)C2CCCC2)c(C)c1,Preprocessed
CCOc1ccc([C@@H]2C(C(=O)Nc3ccc(Br)cn3)=C(C)NC3=C2C(=O)CCC3)cc1,Preprocessed
O=C(CCCC(=O)N(CC(=O)NC1CCCCC1)Cc1ccco1)Nc1ccccn1,Preprocessed
Cc1cccc(OCC(=O)Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)c1,Preprocessed
O=C(Nc1ccccc1)c1cc(S(=O)(=O)Nc2ccccn2)ccc1Br,Preprocessed
COc1cc(NC(=O)N(CC(=O)N(Cc2cccn2C)C2CC2)C(C)C)cc(OC)c1,Preprocessed
CC(=O)Nc1ccc(S(=O)(=O)N2CCC(n3cnc4cc(F)ccc43)CC2)cc1,Preprocessed
CCOc1ccc(N(CC(=O)NC2CCCCC2)S(=O)(=O)c2ccc(C)cc2)cc1,Preprocessed
CCN(CC(=O)Nc1cc(C(C)(C)C)nn1-c1cccc(C)c1)C(=O)NC1CCCCC1,Preprocessed
CC(C)N(CC(=O)Nc1nc(CC(=O)NC(C)(C)C)cs1)C(=O)c1ccc(F)cc1,Preprocessed
Cc1ccccc1C(=O)N(CC(=O)Nc1nc(CC(=O)N2CCCCC2)cs1)C1CC1,Preprocessed
CCOc1ccccc1C(=O)Nc1nc(-c2ccc(CC(C)C)cc2)cs1,Preprocessed
N#Cc1nc(-c2ccc(OCc3ccccc3Cl)cc2)oc1NCCCn1ccnc1,Preprocessed
CC(C)c1cc(C(N)=O)c(NC(=O)c2cccc(COc3ccccc3Cl)c2)s1,Preprocessed
Cc1ccc(NC(=O)CSc2nnc(-c3cccnc3)n2CCc2ccccc2)cc1Cl,Preprocessed
CC(C)c1nc(CN)n(Cc2ccccc2)c1Sc1cc(Cl)cc(Cl)c1,Preprocessed
Cc1ccc(CN(Cc2ccccc2)C(=O)CN(CCN2CCOCC2)C(=O)Nc2ccc(C(C)C)cc2)s1,Preprocessed
